player_id,name,pos,club,now_price,owned_by_%,xG_last4,xA_last4,xGI_last4,npXGI90_last6,shots_box_last4,big_chances_last4,key_passes_last4,mins_last4,expected_minutes_gw+1,proj_points_gw+1,proj_points_next3,injury_status,notes,legend_weight
249,João Pedro Junqueira de Jesus,FWD,CHE,7.7,64.5,,,,,,,,,,,,,,1.0
381,Mohamed Salah,MID,LIV,14.5,54.0,,,,,,,,,,,,,,1.0
470,Martin Dúbravka,GKP,BUR,4.0,33.9,,,,,,,,,100.0,,,,,1.0
430,Erling Haaland,FWD,MCI,14.1,32.7,,,,,,,,,,,,,,1.0
582,Mohammed Kudus,MID,TOT,6.6,32.5,,,,,,,,,,,,,,1.0
427,Tijjani Reijnders,MID,MCI,5.7,32.3,,,,,,,,,,,,,,1.0
82,Antoine Semenyo,MID,BOU,7.4,31.4,,,,,,,,,,,,,,1.0
661,Hugo Ekitiké,FWD,LIV,8.8,29.9,,,,,,,,,,,,,,1.0
575,Micky van de Ven,DEF,TOT,4.6,28.5,,,,,,,,,,,,,,1.0
224,Marc Cucurella Saseta,DEF,CHE,6.1,28.4,,,,,,,,,,,,,,1.0
373,Virgil van Dijk,DEF,LIV,6.0,26.6,,,,,,,,,,,,,,1.0
568,Pedro Porro Sauceda,DEF,TOT,5.6,25.3,,,,,,,,,,,,,,1.0
666,Viktor Gyökeres,FWD,ARS,9.0,24.8,,,,,,,,,,,,,,1.0
220,Robert Lynch Sánchez,GKP,CHE,5.0,24.2,,,,,,,,,,,,,,1.0
525,Chris Wood,FWD,NFO,7.7,24.1,,,,,,,,,,,,,,1.0
1,David Raya Martín,GKP,ARS,5.5,22.9,,,,,,,,,,,,,,1.0
5,Gabriel dos Santos Magalhães,DEF,ARS,6.1,21.3,,,,,,,,,,,,,,1.0
449,Bruno Borges Fernandes,MID,MUN,9.0,21.1,,,,,,,,,,,,,,1.0
235,Cole Palmer,MID,CHE,10.4,20.9,,,,,,,,,,,,,,1.0
382,Florian Wirtz,MID,LIV,8.4,20.2,,,,,,,,,,,,,,1.0
191,Maxime Estève,DEF,BUR,4.0,17.4,,,,,,,,,,,,,,1.0
260,Marc Guéhi,DEF,CRY,4.6,17.2,,,,,,,,,,,,,,1.0
64,Ollie Watkins,FWD,AVL,8.9,17.2,,,,,,,,,,,,,,1.0
419,Jack Grealish,MID,EVE,6.7,17.2,,,,,,,,,,,,,,1.0
384,Cody Gakpo,MID,LIV,7.7,17.1,,,,,,,,,,,,,,1.0
402,Rayan Aït-Nouri,DEF,MCI,6.0,16.6,,,,,,,,,100.0,,,,,1.0
119,Bryan Mbeumo,MID,MUN,8.1,16.2,,,,,,,,,,,,,,1.0
502,Matz Sels,GKP,NFO,5.0,16.2,,,,,,,,,,,,,,1.0
6,William Saliba,DEF,ARS,6.1,15.2,,,,,,,,,75.0,,,,,1.0
610,Aaron Wan-Bissaka,DEF,WHU,4.4,14.8,,,,,,,,,,,,,,1.0
597,Richarlison de Andrade,FWD,TOT,6.7,13.9,,,,,,,,,,,,,,1.0
38,Ezri Konsa Ngoyo,DEF,AVL,4.5,13.4,,,,,,,,,100.0,,,,,1.0
252,Marc Guiu Paz,FWD,CHE,4.4,12.6,,,,,,,,,100.0,,,,,1.0
507,Ola Aina,DEF,NFO,5.0,12.3,,,,,,,,,25.0,,,,,1.0
7,Riccardo Calafiori,DEF,ARS,5.7,12.0,,,,,,,,,,,,,,1.0
287,Jordan Pickford,GKP,EVE,5.5,11.9,,,,,,,,,,,,,,1.0
256,Daniel Muñoz Mejía,DEF,CRY,5.6,11.9,,,,,,,,,,,,,,1.0
266,Eberechi Eze,MID,ARS,7.5,11.2,,,,,,,,,,,,,,1.0
237,Enzo Fernández,MID,CHE,6.6,10.8,,,,,,,,,,,,,,1.0
366,Alisson Becker,GKP,LIV,5.5,10.7,,,,,,,,,,,,,,1.0
580,Brennan Johnson,MID,TOT,7.1,10.1,,,,,,,,,,,,,,1.0
283,Jean-Philippe Mateta,FWD,CRY,7.5,10.1,,,,,,,,,,,,,,1.0
101,Caoimhín Kelleher,GKP,BRE,4.5,9.6,,,,,,,,,100.0,,,,,1.0
299,Iliman Ndiaye,MID,EVE,6.5,9.5,,,,,,,,,,,,,,1.0
8,Jurriën Timber,DEF,ARS,5.6,9.5,,,,,,,,,,,,,,1.0
370,Jeremie Frimpong,DEF,LIV,5.9,9.0,,,,,,,,,50.0,,,,,1.0
21,Declan Rice,MID,ARS,6.5,9.0,,,,,,,,,,,,,,1.0
565,Guglielmo Vicario,GKP,TOT,5.0,8.8,,,,,,,,,,,,,,1.0
477,Tino Livramento,DEF,NEW,5.1,8.7,,,,,,,,,,,,,,1.0
450,Matheus Santos Carneiro da Cunha,MID,MUN,8.0,8.6,,,,,,,,,75.0,,,,,1.0
486,Anthony Elanga,MID,NEW,7.0,8.5,,,,,,,,,,,,,,1.0
541,Reinildo Mandava,DEF,SUN,4.0,8.2,,,,,,,,,,,,,,1.0
505,Nikola Milenković,DEF,NFO,5.5,8.2,,,,,,,,,,,,,,1.0
47,Morgan Rogers,MID,AVL,7.0,8.2,,,,,,,,,100.0,,,,,1.0
508,Neco Williams,DEF,NFO,5.0,8.0,,,,,,,,,,,,,,1.0
499,Alexander Isak,FWD,LIV,10.4,8.0,,,,,,,,,100.0,,,,,1.0
253,Dean Henderson,GKP,CRY,5.0,7.8,,,,,,,,,,,,,,1.0
624,Jarrod Bowen,FWD,WHU,7.8,7.4,,,,,,,,,,,,,,1.0
291,James Tarkowski,DEF,EVE,5.5,7.1,,,,,,,,,,,,,,1.0
226,Trevoh Chalobah,DEF,CHE,5.1,7.1,,,,,,,,,,,,,,1.0
413,Omar Marmoush,MID,MCI,8.4,6.8,,,,,,,,,,,,,,1.0
441,Patrick Dorgu,DEF,MUN,4.5,6.8,,,,,,,,,,,,,,1.0
241,Moisés Caicedo Corozo,MID,CHE,5.5,6.8,,,,,,,,,,,,,,1.0
267,Ismaïla Sarr,MID,CRY,6.5,6.3,,,,,,,,,75.0,,,,,1.0
211,Aaron Ramsey,MID,BUR,4.4,6.1,,,,,,,,,,,,,,1.0
72,Marcos Senesi Barón,DEF,BOU,4.6,6.0,,,,,,,,,,,,,,1.0
139,Bart Verbruggen,GKP,BHA,4.5,5.9,,,,,,,,,,,,,,1.0
371,Milos Kerkez,DEF,LIV,6.0,5.9,,,,,,,,,,,,,,1.0
681,Benjamin Sesko,FWD,MUN,7.4,5.9,,,,,,,,,,,,,,1.0
236,Pedro Lomba Neto,MID,CHE,7.0,5.6,,,,,,,,,,,,,,1.0
469,Nick Pope,GKP,NEW,5.0,5.6,,,,,,,,,,,,,,1.0
517,Elliot Anderson,MID,NFO,5.5,5.5,,,,,,,,,,,,,,1.0
43,Álex Moreno Lopera,DEF,AVL,4.0,5.5,,,,,,,,,,,,,,1.0
515,Morgan Gibbs-White,MID,NFO,7.5,5.5,,,,,,,,,,,,,,1.0
506,Murillo Costa dos Santos,DEF,NFO,5.5,5.5,,,,,,,,,,,,,,1.0
476,Dan Burn,DEF,NEW,5.0,5.5,,,,,,,,,,,,,,1.0
311,Norberto Bercique Gomes Betuncal,FWD,EVE,5.4,5.5,,,,,,,,,,,,,,1.0
569,Cristian Romero,DEF,TOT,5.0,5.4,,,,,,,,,,,,,,1.0
16,Bukayo Saka,MID,ARS,9.8,5.4,,,,,,,,,,,,,,1.0
603,El Hadji Malick Diouf,DEF,WHU,4.5,5.2,,,,,,,,,,,,,,1.0
225,Reece James,DEF,CHE,5.5,5.0,,,,,,,,,,,,,,1.0
417,Rayan Cherki,MID,MCI,6.4,5.0,,,,,,,,,,,,,,1.0
36,Matty Cash,DEF,AVL,4.5,4.9,,,,,,,,,,,,,,1.0
157,Mitoma Kaoru,MID,BHA,6.4,4.8,,,,,,,,,,,,,,1.0
242,Kiernan Dewsbury-Hall,MID,EVE,5.0,4.5,,,,,,,,,,,,,,1.0
145,Maxim De Cuyper,DEF,BHA,4.5,4.3,,,,,,,,,,,,,,1.0
347,Gabriel Gudmundsson,DEF,LEE,4.0,4.1,,,,,,,,,100.0,,,,,1.0
67,Đorđe Petrović,GKP,BOU,4.5,4.1,,,,,,,,,,,,,,1.0
408,Rúben dos Santos Gato Alves Dias,DEF,MCI,5.5,4.0,,,,,,,,,,,,,,1.0
531,Daniel Ballard,DEF,SUN,4.6,3.6,,,,,,,,,,,,,,1.0
167,Carlos Baleba,MID,BHA,4.9,3.4,,,,,,,,,,,,,,1.0
410,Rico Lewis,DEF,MCI,5.0,3.4,,,,,,,,,75.0,,,,,1.0
669,Dan Ndoye,MID,NFO,6.1,3.3,,,,,,,,,,,,,,1.0
436,Matthijs de Ligt,DEF,MUN,5.0,3.0,,,,,,,,,,,,,,1.0
403,Joško Gvardiol,DEF,MCI,5.8,3.0,,,,,,,,,,,,,,1.0
600,Alphonse Areola,GKP,WHU,4.4,2.9,,,,,,,,,,,,,,1.0
474,Fabian Schär,DEF,NEW,5.5,2.9,,,,,,,,,100.0,,,,,1.0
374,Ibrahima Konaté,DEF,LIV,5.5,2.9,,,,,,,,,,,,,,1.0
387,Dominik Szoboszlai,MID,LIV,6.5,2.9,,,,,,,,,,,,,,1.0
317,Joachim Andersen,DEF,FUL,4.5,2.8,,,,,,,,,,,,,,1.0
654,Jørgen Strand Larsen,FWD,WOL,6.4,2.8,,,,,,,,,75.0,,,,,1.0
348,Joe Rodon,DEF,LEE,4.0,2.8,,,,,,,,,100.0,,,,,1.0
478,Kieran Trippier,DEF,NEW,5.0,2.7,,,,,,,,,,,,,,1.0
668,Granit Xhaka,MID,SUN,5.0,2.7,,,,,,,,,,,,,,1.0
